Type,Name,Address,District,,Type,District
Tourist Attraction, Sentosa Beach Station ,"33 Allanbroke Road, Sentosa, S(099981)",Central,,,
Tourist Attraction, Sentosa Boardwalk,Sentosa Boardwalk,Central,,,
Tourist Attraction, Sentosa Imbiah Lookout,"Imbiah Lookout, Sentosa, S(099538)",Central,,,
Tourist Attraction, Sentosa Imbiah Station,"Imbiah Express Station, Sentosa, S(099981)",Central,,,
Tourist Attraction, Sentosa Palawan Beach (East),"Palawan Beach Walk, S(098521)",Central,,,
Tourist Attraction, Sentosa Palawan Beach (West),"Palawan Beach Walk, S(098038)",Central,,,
Tourist Attraction, Sentosa Palawan Kidz City ,"31 Beach View, Palawan Kidz City S(098008)",Central,,,
Tourist Attraction, Sentosa Silosa Beach (East),"Siloso Beach Walk, S(098997)",Central,,,
Tourist Attraction, Sentosa Siloso (West),Sentosa Siliso East,Central,,,
Tourist Attraction, Sentosa Wings of Time,"Wings of Time, Sentosa, S(099538)",Central,,,
Tourist Attraction, The Fullerton Water Boat House,"1 Fullerton Road, S(049213)",Central,,,
Bus Interchange, Compassvale Bus Interchange,"51A, Compassvale Road, S(544760)",North East,,,
Bus Interchange, Hougang Bus Interchanage,"840 Hougang Central, S(53877)",North East,,,
Bus Interchange, Punggol Bus Interchange,"70A, Punggol Place, S(828865)",North East,,,
Bus Interchange, Sengkang Bus Interchange,"13 Sengkang Square, S(545077)",North East,,,
Bus Interchange, Tampines Bus Interchange,"512 Tampines Central 1, S(520512)",North East,,,
Bus Interchange, Tampines Concourse Bus Interchange ,"11 Tampines Concourse, S(529543)",North East,,,
Club, NTUC Club Downtown East,1 Pasir Ris Close S(519599),North East,,,
Club, Safra Punggol,"9 Sentul Crescent, S(828654)",North East,,,
Coffeeshop, Kopitiam @ 231 Sumang Lane,"231, Sumang Lane, S(820231)",North East,,,
Coffeeshop, Kopitiam @ 275D Compassvale Link,"275D Compassvale Link, #01-01, S(544275)",North East,,,
Coffeeshop, Kopitiam @ 639 Punggol Drive,"639 Punggol Drive, #01-07, S(820639)",North East,,,
Coffeeshop, Kopitiam @108 Punggol Field,"108 Punggol Field, #01-01, S(820108)",North East,,,
Coffeeshop, NTUC Foodfare @ 273C Punggol Place,"273C Punggol Place, #01-882, S(823273)",North East,,,
Market & Food Centre, Chomp Chomp Food Centre,"20 Kensington Park Road, S(557269)",North East,,,
Market & Food Centre, Hawker Centre @ Our Tampines Hub,"902 Tampines Avenue 4, S(520902)",North East,,,
Market & Food Centre, Pasir Ris Central Hawker Centre,"110 Pasir Ris Central, S(519641)",North East,,,
Market & Food Centre, Serangoon Garden Market,"49A Serangoon Garden Way, S(555945)",North East,,,
Market & Food Centre, Tampines Round Market & Food Centre ,"Blk 137 Tampines Street 11, S(521137)",North East,,,
MRT Station, Bedok Reservoir MRT Station (DT30),"371 Bedok North Avenue 3, S(469724)",North East,,,
MRT Station, Buangkok MRT Station (NE15),"10 Sengkang Central, S(545061)",North East,,,
MRT Station, Eunos MRT Station,"30 Eunos Crescent, S(409423)",North East,,,
MRT Station, Hougang MRT Station (NE14),"80 Hougang Central, S(538758)",North East,,,
MRT Station, Kaki Bukit MRT Station (DT28),"30 Kaki Bukit Avenue 1, S(415804)",North East,,,
MRT Station, Kembangan MRT Station,"55 Sims Avenue East, S(416551)",North East,,,
MRT Station, Kovan MRT Station (NE13),"900 Upper Serangoon Rd, S(534799)",North East,,,
MRT Station, Pasir Ris MRT Station,"10 Pasir Ris Central, S(519634)",North East,,,
MRT Station, Punggol MRT Station-NE17,"10 Punggol Central, S(828868)",North East,,,
MRT Station, Sengkang MRT Station (NE16),"5 Sengkang Square, S(545062)",North East,,,
MRT Station, Tampines East MRT Station (DT33),"20 Tampines Avenue 7, S(529623)",North East,,,
MRT Station, Tampines MRT Station,"20 Tampines Central, S(529538)",North East,,,
MRT Station, Tampines MRT Station (DT32),"20 Tampines Central, S(529538)",North East,,,
MRT Station, Tampines West MRT Station (DT31),"2 Tampines Avenue 4, S(529683)",North East,,,
MRT Station, Tanah Merah MRT Station,"920 New Upper Changi Road, (467356)",North East,,,
Place of worship, Al - Istighfar Mosque,"2 Pasir Ris Walk, S(518239)",North East,,,
Shopping Centre, Century Square,"2 Tampines Central 5, S(529509)",North East,,,
Shopping Centre, Elias Mall,"Blk 625, Level 1 & 2, Elias Road, S(510625)",North East,,,
Shopping Centre, Hougang Mall,"90 Hougang Avenue 10, Level B1 - 2, S(538766)",North East,,,
Shopping Centre, Hougang Mall,"90 Hougang Avenue 10, Level 3 - 5, S(538766)",North East,,,
Shopping Centre, Loyang Point Shopping Centre,"258/259 Pasir Ris Street 21, S(510258)",North East,,,
Shopping Centre, Pasir Ris West Plaza,"735, Pasir Ris Street 72, S(510735)",North East,,,
Shopping Centre, Rivervale Plaza,"118, Rivervale Plaza, S(540118)",North East,,,
Shopping Centre, Tampines Central Community Complex,"Blk 886A, Tampines Street 83, S(521866)",North East,,,
Shopping Centre, Tampines One,"10, Tampines Central 1, S(529536)",North East,,,
